,name,category_code,tag_list,offices,zip_code,city,country_code,latitude,longitude
162,Eton Digital,web,"social-network-development, social-media, social-network, social-networking, drupal, symfony, website-design, content-management, web-2-0, web-accessibility","[{'zip_code': '', 'city': '', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",,,GBR,,
163,Easel,web,"web-design, coding, mockups, development, web-development","[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,,USA,,
164,Shadeland Studios,web,"apple, mac-os-x, iphone, webapps, flash, games, design, services, music, creative","[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,,USA,,
165,PromoteWare,web,real-estate-web-design-web-design-ecommerce-shopping-websites,"[{'zip_code': '', 'city': '', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,,USA,,
166,BreconRidge,enterprise,,"[{'zip_code': 'K2V 1C2', 'city': '', 'country_code': 'CAN', 'latitude': None, 'longitude': None}]",K2V 1C2,,CAN,,
167,Your Design Online,web,"web-design, web-development, website-design, website-development, internet-marketing, email-marketing, social-media, web-design-atlanta, website-design-atlanta, web-site-development, search-engine-optimization, seo, search-engine-marketing, atlanta-web-de","[{'zip_code': '30338', 'city': 'ATLANTA', 'country_code': 'USA', 'latitude': 33.9349004, 'longitude': -84.3378955}]",30338,ATLANTA,USA,33.9349004,-84.3378955
168,ThoseGeeks,network_hosting,"web-hosting, website-design","[{'zip_code': '24212', 'city': 'Abingdon', 'country_code': 'USA', 'latitude': 36.7084, 'longitude': -81.9688}]",24212,Abingdon,USA,36.7084,-81.9688
169,Synergie Media,advertising,"social-media, web-design, web-development, outsourcing, web-agency, nearshoring, morocco, africa, online-advertising, seo, agadir, interactive-agency, cms, content-management-system, offshoring, blog, maroc, france, belgique, the-netherlands, netherlands,","[{'zip_code': '80000', 'city': 'Agadir', 'country_code': 'MAR', 'latitude': None, 'longitude': None}, {'zip_code': '3053 LA', 'city': 'Rotterdam', 'country_code': 'NLD', 'latitude': 51.960189, 'longitude': 4.474856}]",3053 LA,Rotterdam,NLD,51.960189,4.474856
170,Synergie Media,advertising,"social-media, web-design, web-development, outsourcing, web-agency, nearshoring, morocco, africa, online-advertising, seo, agadir, interactive-agency, cms, content-management-system, offshoring, blog, maroc, france, belgique, the-netherlands, netherlands,","[{'zip_code': '80000', 'city': 'Agadir', 'country_code': 'MAR', 'latitude': None, 'longitude': None}, {'zip_code': '3053 LA', 'city': 'Rotterdam', 'country_code': 'NLD', 'latitude': 51.960189, 'longitude': 4.474856}]",3053 LA,Rotterdam,NLD,51.960189,4.474856
171,Qovax,software,"startup, software, web-design, web-services, investment-software, investment","[{'zip_code': '', 'city': 'Agoura Hills', 'country_code': 'USA', 'latitude': 34.146149, 'longitude': -118.761265}]",,Agoura Hills,USA,34.146149,-118.761265
